id,rating
"1",7
"2",6
"3",8
"4",7
"5",5
"6",8
"7",8
"8",8
"9",7
"10",8
"11",6
"12",7
"13",6
"14",6
"15",7
"16",7
"17",7
"18",7
"19",8
"20",7
"21",6
"22",8
"23",7
"24",8
"25",7
"26",8
"27",8
"28",7
"29",7
"30",7
"31",9
"32",7
"33",6
"34",8
"35",8
"36",7
"37",8
"38",6
"39",7
"40",7
"41",7
"42",6
"43",7
"44",7
"45",7
"46",7
"47",7
"48",8
"49",6
"50",8
"51",7
"52",6
"53",8
"54",7
"55",7
"56",7
"57",10
"58",6
"59",6
"60",6
"61",9
"62",8
"63",4
"64",8
"65",4
"66",7
"67",8
"68",7
"69",8
"70",8
"71",7
"72",8
"73",7
"74",7
"75",7
"76",6
"77",7
"78",4
"79",8
"80",7
"81",8
"82",8
"83",7
"84",7
"85",7
"86",7
"87",6
"88",6
"89",6
"90",7
"91",6
"92",6
"93",6
"94",7
"95",7
"96",6
"97",7
"98",6
"99",6
"100",6
"101",7
"102",7
"103",5
"104",7
"105",8
"106",8
"107",8
"108",6
"109",6
"110",8
"111",8
"112",10
"113",7
"114",6
"115",8
"116",8
"117",8
"118",7
"119",5
"120",8
"121",7
"122",8
"123",8
"124",6
"125",7
"126",8
"127",9
"128",8
"129",7
"130",6
"131",8
"132",7
"133",6
"134",6
"135",7
"136",7
"137",8
"138",8
"139",6
"140",6
"141",6
"142",7
"143",7
"144",7
"145",6
"146",7
"147",8
"148",6
"149",7
"150",7
"151",7
"152",6
"153",8
"154",7
"155",7
"156",9
"157",7
"158",8
"159",7
"160",8
"161",8
"162",8
"163",6
"164",7
"165",7
"166",8
"167",8
"168",8
"169",8
"170",6
"171",7
"172",7
"173",7
"174",8
"175",7
"176",7
"177",8
"178",7
"179",8
"180",6
"181",10
"182",7
"183",9
"184",7
"185",5
"186",4
"187",9
"188",7
"189",8
"190",7
"191",7
"192",7
"193",8
"194",7
"195",8
"196",6
"197",6
"198",8
"199",8
"200",6
"201",7
"202",8
"203",7
"204",6
"205",7
"206",7
"207",6
"208",7
"209",6
"210",8
"211",8
"212",6
"213",9
"214",8
"215",7
"216",7
"217",7
"218",7
"219",10
"220",6
"221",7
"222",7
"223",6
"224",7
"225",8
"226",6
"227",8
"228",6
"229",8
"230",7
"231",6
"232",8
"233",7
"234",7
"235",7
"236",7
"237",8
"238",7
"239",6
"240",7
"241",7
"242",8
"243",7
"244",7
"245",9
"246",7
"247",7
"248",7
"249",8
"250",8
"251",8
"252",6
"253",8
"254",5
"255",7
"256",7
"257",7
"258",6
"259",8
"260",6
