id,rating
"1",7
"2",8
"3",7
"4",8
"5",4
"6",8
"7",8
"8",7
"9",8
"10",8
"11",4
"12",7
"13",7
"14",6
"15",7
"16",7
"17",8
"18",8
"19",6
"20",7
"21",7
"22",8
"23",7
"24",7
"25",7
"26",6
"27",7
"28",7
"29",7
"30",7
"31",9
"32",8
"33",6
"34",7
"35",8
"36",7
"37",9
"38",5
"39",7
"40",7
"41",8
"42",7
"43",8
"44",7
"45",7
"46",6
"47",7
"48",7
"49",6
"50",8
"51",6
"52",7
"53",8
"54",7
"55",7
"56",7
"57",8
"58",7
"59",6
"60",9
"61",9
"62",8
"63",4
"64",8
"65",6
"66",6
"67",7
"68",7
"69",7
"70",8
"71",8
"72",7
"73",7
"74",7
"75",6
"76",6
"77",8
"78",4
"79",8
"80",7
"81",8
"82",8
"83",7
"84",7
"85",7
"86",7
"87",6
"88",8
"89",6
"90",7
"91",7
"92",7
"93",8
"94",7
"95",8
"96",6
"97",7
"98",6
"99",7
"100",9
"101",7
"102",7
"103",6
"104",8
"105",8
"106",7
"107",6
"108",6
"109",8
"110",8
"111",8
"112",6
"113",7
"114",6
"115",8
"116",8
"117",8
"118",7
"119",5
"120",7
"121",7
"122",4
"123",8
"124",6
"125",7
"126",8
"127",5
"128",8
"129",7
"130",6
"131",8
"132",7
"133",6
"134",6
"135",7
"136",7
"137",8
"138",7
"139",6
"140",8
"141",8
"142",8
"143",7
"144",7
"145",5
"146",7
"147",8
"148",4
"149",4
"150",7
"151",7
"152",8
"153",8
"154",7
"155",6
"156",7
"157",8
"158",7
"159",7
"160",7
"161",8
"162",8
"163",6
"164",7
"165",6
"166",7
"167",8
"168",8
"169",8
"170",7
"171",7
"172",7
"173",7
"174",8
"175",7
"176",7
"177",8
"178",9
"179",8
"180",9
"181",10
"182",7
"183",9
"184",8
"185",5
"186",4
"187",8
"188",7
"189",6
"190",7
"191",7
"192",7
"193",8
"194",7
"195",10
"196",9
"197",8
"198",8
"199",8
"200",6
"201",8
"202",8
"203",7
"204",4
"205",7
"206",7
"207",7
"208",7
"209",7
"210",8
"211",7
"212",8
"213",8
"214",8
"215",7
"216",8
"217",7
"218",7
"219",7
"220",6
"221",7
"222",7
"223",10
"224",7
"225",4
"226",6
"227",7
"228",6
"229",9
"230",7
"231",7
"232",8
"233",4
"234",7
"235",5
"236",7
"237",10
"238",6
"239",6
"240",7
"241",8
"242",8
"243",7
"244",7
"245",8
"246",8
"247",7
"248",7
"249",8
"250",7
"251",8
"252",5
"253",9
"254",7
"255",7
"256",7
"257",8
"258",8
"259",8
"260",7
"261",7
"262",7
"263",7
"264",8
"265",9
"266",4
"267",8
"268",7
"269",8
"270",8
"271",7
"272",7
"273",8
"274",8
"275",7
"276",5
"277",7
"278",8
"279",7
"280",7
"281",8
"282",8
"283",8
"284",3
"285",7
"286",6
"287",4
"288",7
"289",6
"290",5
"291",8
"292",8
"293",9
"294",7
"295",8
"296",7
"297",6
"298",8
"299",5
"300",7
"301",8
"302",7
"303",7
"304",7
"305",7
"306",8
"307",7
"308",7
"309",6
"310",8
"311",7
"312",7
"313",8
"314",8
"315",7
"316",7
"317",7
"318",7
"319",10
"320",7
"321",7
"322",7
"323",7
"324",6
"325",7
"326",7
"327",7
"328",7
"329",8
"330",7
"331",6
"332",4
"333",7
"334",7
"335",9
"336",7
"337",8
"338",6
"339",7
"340",6
"341",7
"342",9
"343",7
"344",8
"345",7
"346",6
"347",6
"348",8
"349",7
"350",7
"351",8
"352",7
"353",6
"354",6
"355",8
"356",7
"357",8
"358",7
"359",7
"360",8
"361",6
"362",8
"363",7
"364",9
"365",10
"366",7
"367",8
"368",6
"369",10
"370",8
"371",7
"372",7
"373",7
"374",7
"375",7
"376",8
"377",6
"378",8
"379",7
"380",8
"381",7
"382",7
"383",8
"384",7
"385",7
"386",7
"387",8
"388",8
"389",7
"390",6
"391",8
"392",8
"393",6
"394",7
"395",7
"396",8
"397",7
"398",8
"399",7
"400",7
"401",7
"402",8
"403",8
"404",8
"405",8
"406",8
"407",8
"408",7
"409",8
"410",8
"411",6
"412",7
"413",10
"414",7
"415",7
"416",6
"417",8
"418",8
"419",7
"420",8
"421",8
"422",7
"423",10
"424",7
"425",5
"426",7
"427",7
"428",8
"429",5
"430",7
"431",4
"432",7
"433",6
"434",8
"435",8
"436",6
"437",8
"438",7
"439",8
"440",7
"441",7
"442",8
"443",8
"444",8
"445",8
"446",8
"447",7
"448",7
"449",6
"450",8
"451",6
"452",4
"453",8
"454",8
"455",9
"456",8
"457",7
"458",7
"459",9
