id,rating
"1",7
"2",7
"3",7
"4",8
"5",5
"6",7
"7",7
"8",8
"9",8
"10",8
"11",5
"12",7
"13",7
"14",5
"15",7
"16",7
"17",7
"18",7
"19",8
"20",7
"21",6
"22",6
"23",7
"24",7
"25",7
"26",8
"27",8
"28",7
"29",8
"30",7
"31",8
"32",8
"33",8
"34",7
"35",7
"36",7
"37",7
"38",8
"39",7
"40",7
"41",8
"42",6
"43",7
"44",7
"45",8
"46",8
"47",8
"48",7
"49",6
"50",8
"51",7
"52",7
"53",6
"54",7
"55",8
"56",8
"57",7
"58",6
"59",6
"60",7
"61",7
"62",6
"63",7
"64",8
"65",8
"66",7
"67",7
"68",7
"69",7
"70",8
"71",7
"72",7
"73",8
"74",7
"75",7
"76",7
"77",7
"78",4
"79",7
"80",7
"81",7
"82",8
"83",4
"84",8
"85",7
"86",7
"87",7
"88",6
"89",4
"90",7
"91",8
"92",9
"93",9
"94",7
"95",7
"96",7
"97",8
"98",6
"99",7
"100",8
"101",8
"102",8
"103",5
"104",8
"105",8
"106",8
"107",8
"108",6
"109",8
"110",8
"111",8
"112",6
"113",6
"114",6
"115",8
"116",8
"117",7
"118",7
"119",5
"120",7
"121",8
"122",3
"123",8
"124",6
"125",7
"126",9
"127",6
"128",9
"129",7
"130",3
"131",8
"132",8
"133",6
"134",7
"135",6
"136",7
"137",7
"138",8
"139",6
"140",7
"141",6
"142",8
"143",8
"144",7
"145",6
"146",8
"147",8
"148",6
"149",4
"150",6
"151",7
"152",8
"153",8
"154",7
"155",7
"156",7
"157",7
"158",8
"159",7
"160",8
"161",6
"162",7
"163",7
"164",7
"165",7
"166",8
"167",8
"168",7
"169",8
"170",8
"171",7
"172",10
"173",5
"174",7
"175",7
"176",7
"177",8
"178",8
"179",8
"180",9
"181",8
"182",6
"183",7
"184",7
"185",5
"186",4
"187",9
"188",7
"189",8
"190",7
"191",7
"192",7
"193",6
"194",7
"195",6
"196",6
"197",7
"198",6
"199",8
"200",7
"201",10
"202",7
"203",6
"204",4
"205",7
"206",7
"207",7
"208",7
"209",6
"210",8
"211",8
"212",7
"213",8
"214",8
"215",7
"216",8
"217",6
"218",7
"219",7
"220",7
"221",8
"222",8
"223",10
"224",7
"225",7
"226",8
"227",6
"228",7
"229",9
"230",7
"231",6
"232",9
"233",6
"234",7
"235",5
"236",6
"237",8
"238",7
"239",6
"240",9
"241",7
"242",8
"243",7
"244",9
"245",7
"246",7
"247",7
"248",8
"249",10
"250",8
"251",8
"252",8
"253",8
"254",5
"255",7
"256",6
"257",7
"258",8
"259",8
"260",7
"261",8
"262",8
"263",7
"264",8
"265",9
"266",5
"267",8
